Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
186,25.02.2026,АР-048/0002,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 60,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,60,НД,5,"1,686","1,74",0,"0,051","0,003","0,969","Круг г/к 62,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,62,НД,"1,00","1,00","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 62,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,62,НД,"2,94","0,74","2,19",,,,,,,,,,,,,
197,26.03.2026,АР-048/0008,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 63,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,63,НД,2,2,"2,064",0,"0,06","0,003","0,969","Круг г/к 65,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,65,МД 6000,"4,39","2,06","2,33",,,,,,,,,,,,,
199,26.03.2026,АР-048/0008,ПРОМКАЛИБР ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 20,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,20,НД,2,"0,832","0,858",0,"0,025","0,001","0,969","Круг г/к 22,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,22,МД 6000,"3,00","0,86","2,14",,,,,,,,,,,,,
202,26.03.2026,АР-048/0008,ПРОМКАЛИБР ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 50,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,50,НД,2,2,"2,064",0,"0,06","0,003","0,969","Круг г/к 52,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,52,МД 6000,"2,09","2,06","0,03",,,,,,,,,,,,,
203,26.03.2026,АР-048/0008,ПРОМКАЛИБР ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 63,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,63,НД,2,2,"2,064",0,"0,06","0,003","0,969","Круг г/к 65мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,65,МД 6000,"2,36","2,06","0,30",,,,,,,,,,,,,
211,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.40х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40,30,МД 6000,1,1,0,"1,043",0,0,0,,,,,,,,,,,,,,,,,,,,,,
213,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 33,0мм ст.40х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40,33,МД 6000,1,1,0,"1,044",0,0,0,,,,,,,,,,,,,,,,,,,,,,
216,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 22,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.35,22,НД,1,"0,234",0,"0,242",0,0,0,,,,,,,,,,,,,,,,,,,,,,
217,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 24,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.35,24,НД,2,"0,248",0,"0,257",0,0,0,,,,,,,,,,,,,,,,,,,,,,
220,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 32,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.40Х,32,МД 6000,1,1,0,"1,046",0,0,0,,,,,,,,,,,,,,,,,,,,,,
221,26.03.2026,АР-051/0001,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 36,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.40Х,36,МД 6000,1,1,0,"1,046",0,0,0,,,,,,,,,,,,,,,,,,,,,,
226,27.03.2026,АР-048/0006,УМК-Инвест ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 40,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,40,НД,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
231,27.03.2026,АР-048/0005,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.20 h11 В М1-ТВ1 НГ Н/Д консервация без упаковки",Круг,ст.20,28,НД,4,"2,01",0,"2,074",0,0,0,,,,,,,,,,,,,,,,,,,,,,
237,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.35х6500 h11 В НГ М2 ТВ2 М/Д консервация без упаковки",Круг,ст.35,30,МД 6500,2,2,0,"2,066",0,0,0,,,,,,,,,,,,,,,,,,,,,,
238,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,5мм ст.35 h11 Б НГ М2 ТВ2 Н/Д консервация без упаковки",Круг,ст.35,"30,5",НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
243,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 38,0мм ст.35х4200 h11 В НГ М2 ТВ2 М/Д консервация без упаковки",Круг,ст.35,38,МД 4200,3,"1,278","1,349",0,"0,039","0,092","0,903","Круг г/к 40,0мм ст.35 В1 2ГП МД 4200,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,40,МД 4200,"3,34","1,35","1,99",,,,,,,,,,,,,
249,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 45,0мм ст.35х3150 h11 В НГ М2 ТВ2 М/Д консервация без упаковки",Круг,ст.35,45,МД 3150,6,"0,248","0,259",0,"0,008","0,004","0,957","Круг г/к 46,0мм ст.35 В1 2ГП МД 6300,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,46,МД 6300,"2,84","0,26","2,58",,,,,,,,,,,,,
252,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 16,0мм ст.40Хх3150 h11 В ТО М М/Д консервация без упаковки",Круг,ст.40Х,16,МД 3150,10,"4,722","4,898","0,036","0,144","0,693","0,83","Круг г/к 18,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,18,МД 6000,"4,90","4,90","0,00",,,,,,,,,,,,,
253,30.03.2026,АР-057/0001,МашПромКомплект,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 17,0мм ст.40Хх3150 h11 Б ТО М НВ 160-220 М/Д конс. без упак.",Круг,ст.40Х,17,МД 3150,2,"0,265","0,273",0,"0,008","0,009","0,937","Круг г/к 18,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,18,МД 6000,"5,17","0,27","4,90",,,,,,,,,,,,,
276,15.01.2026,АР-353/0010,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 25,0мм ст.40Хх6000 h11 В НГ МД консервация без упаковки",Круг,ст.40Х,25,МД 6000,"2,67","0,225",0,"0,235",0,0,0,,,,,,,,,,,,,,,,,,,,,,
284,26.01.2026,АР-353/0009,"ООО ""ЗАКБ""","ГОСТ 1414-75/ГОСТ 8560-78 шестигранник 27,0мм ст.А12х6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.А12,27,МД 6000,10,"7,203",0,"7,531",0,0,0,,,,,,,,,,,,,,,,,,,,,,
293,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 16,0мм ст.20 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.20,16,НД,26,"23,554","4,559","19,737","0,71","0,033","0,969","Круг г/к 18,0мм ст.20 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,18,МД 6000,"4,56","4,56","0,00",,,,,,,,,,,,,
294,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 17,0мм ст.35 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.35,17,НД,2,"0,822",0,"0,848",0,0,0,,,,,,,,,,,,,,,,,,,,,,
295,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.35 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.35,18,НД,4,4,0,"4,127",0,0,0,,,,,,,,,,,,,,,,,,,,,,
