Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),Тех. отходы склад г/к,Дел. Остатки склад г/к,КИМ склад г/к,ИТОГО ост. к завершению / после склада г/к,Номенклатура склад г/к,Профиль наличия,НТД,Марка наличия,Размер наличия,Длина (склад г/к),Остаток на складе г/к. (тн),Взято со склада г/к (тн),Свободный остаток г/к склад (тн),Тех. отходы /плановое поступление,Дел. Остатки /плановое поступление,КИМ /плановое поступление,ИТОГО остаток выполлнения заказа  после расчета / плановое поступление,Номенклатура/ плановое поступление,Профиль / плановое поступление,Марка / плановое поступление,Размер / плановое поступление,Кол-во тн. / плановое поступление,Длина  / плановое поступление,Дата размещения,Поставщик,Ожидаемая дата поставки,Входящий остаток / плановое поступление,Взято / плановое поступление,Свободный остаток / плановое поступление
11,15.01.2026,АР-353/0011,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 56,0мм ст.40Хх6000 h11 В НГ МД консервация без упаковки",Круг,ст.40Х,56,МД 6000,2,"10,00","3,00","0,30","0,17","0,955","7,37","Круг г/к 58,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,58,НД,"3,00","3,00","0,00","0,215","0,274","0,934","0,37",,Круг,ст.40х,58,"7,00",МД6000,02.04.2026,УралТехсталь,09.05.2026,"7,00","7,00","0,00"
63,20.02.2026,АР-353/0006,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 27,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.35,27,НД,3,"5,00","5,17","0,17","0,01","0,966","0,00","Круг г/к 31,0мм ст.35 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,31,НД,"8,00","5,17","2,83",0,0,0,"0,00",,,,,,,,,,,,
